model_size_label,identity_frame,profile_source,n,seed_count,accuracy_mean_mean,accuracy_mean_ci95_low,accuracy_mean_ci95_high,valid_choice_rate_mean,valid_choice_rate_ci95_low,valid_choice_rate_ci95_high
1b,baseline_helpful,matched_decoy,32,2,0.625,0.46875,0.78125,1.0,1.0,1.0
1b,baseline_helpful,scrambled_profile,32,2,0.625,0.46875,0.78125,1.0,1.0,1.0
1b,baseline_helpful,self_profile,32,2,0.625,0.46875,0.78125,1.0,1.0,1.0
1b,family_self,matched_decoy,32,2,0.40625,0.25,0.5625,1.0,1.0,1.0
1b,family_self,scrambled_profile,32,2,0.46875,0.3125,0.625,1.0,1.0,1.0
1b,family_self,self_profile,32,2,0.53125,0.34375,0.6875,1.0,1.0,1.0
1b,stable_style_policy,matched_decoy,32,2,0.59375,0.4375,0.75,1.0,1.0,1.0
1b,stable_style_policy,scrambled_profile,32,2,0.5625,0.40625,0.71875,1.0,1.0,1.0
1b,stable_style_policy,self_profile,32,2,0.59375,0.4375,0.75,1.0,1.0,1.0
